id_tag,dam_tag,sire_tag
384.1B796F5EC6_2014,3DD.003BA5AFC9_2012,3DD.003B9F9AE8_2012
384.1B796F6407_2014,3DD.003BA5AFC9_2012,3DD.003B9F9AE8_2012
384.1B796F666B_2014,3DD.003BA5AF8C_2012,3DD.003B9F9AE0_2012
384.1B796F6B81_2014,3DD.003B9F9ACF_2012,3DD.003B9F9B4E_2012
384.1B797063E4_2013,0,0
384.1B797067B9_2013,0,0
384.1B7970715F_2013,0,0
384.1B79707532_2013,0,0
384.1B7970757D_2013,0,0
384.1B7970762A_2013,0,0
384.1B79707797_2013,0,0
384.1B797135F5_2013,0,0
384.1B7971364F_2013,0,0
384.1B797137B2_2013,0,0
384.1B797139D7_2013,0,0
384.1B79713A6E_2013,0,0
384.1B79713B1D_2013,0,0
384.1B79713D67_2013,0,0
384.1B79713E2A_2013,0,0
384.1B79713E40_2013,0,0
384.1B79713F7C_2013,0,0
384.1B79714043_2013,0,0
384.1B79714083_2013,0,0
384.1B7971416F_2013,0,0
384.1B797141C6_2013,0,0
384.1B7971443E_2013,0,0
3D9.1C2DB6620E_2011,0,0
3D9.1C2DB6620E_2012,0,0
3D9.1C2DBB2C40_2012,0,0
3D9.1C2DC09070_2011,0,0
3D9.1C2DC09070_2012,0,0
3D9.239F88A71F_2017,3DD.003BEF2539_2015,3DD.003BEF24E9_2015
3D9.239F88AB08_2017,3DD.003BEF25D6_2015,3DD.003BEF294C_2015
3D9.239F88B15C_2017,3DD.003BEF2559_2015,3DD.003BDCF979_2015
3D9.239F88B278_2017,3DD.003BEF291B_2015,3DD.003BEF27D2_2015
3DD.003B959B58_2011,0,0
3DD.003B959B58_2012,0,0
3DD.003B9F9ACF_2011,0,0
3DD.003B9F9ACF_2012,0,0
3DD.003B9F9AD2_2011,0,0
3DD.003B9F9AD2_2012,0,0
3DD.003B9F9ADC_2011,0,0
3DD.003B9F9ADC_2012,0,0
3DD.003B9F9AE0_2011,0,0
3DD.003B9F9AE8_2011,0,0
3DD.003B9F9AE8_2012,0,0
3DD.003B9F9AF6_2011,0,0
3DD.003B9F9AF6_2012,0,0
3DD.003B9F9B0F_2011,0,0
3DD.003B9F9B0F_2012,0,0
3DD.003B9F9B44_2012,0,0
3DD.003B9F9B4E_2011,0,0
3DD.003B9F9B4E_2012,0,0
3DD.003B9F9B53_2011,0,0
3DD.003B9F9B53_2012,0,0
3DD.003B9F9B67_2011,0,0
3DD.003B9F9B67_2012,0,0
3DD.003B9F9B70_2011,0,0
3DD.003B9F9B70_2012,0,0
3DD.003B9F9B86_2011,0,0
3DD.003B9F9B8C_2011,0,0
3DD.003B9F9B8C_2012,0,0
3DD.003B9F9B8E_2012,0,0
3DD.003BA5AF10_2011,0,0
3DD.003BA5AF10_2012,0,0
3DD.003BA5AF1F_2011,0,0
3DD.003BA5AF1F_2012,0,0
3DD.003BA5AF25_2011,0,0
3DD.003BA5AF2D_2011,0,0
3DD.003BA5AF2D_2012,0,0
3DD.003BA5AF31_2011,0,0
3DD.003BA5AF31_2012,0,0
3DD.003BA5AF33_2011,0,0
3DD.003BA5AF33_2012,0,0
3DD.003BA5AF35_2011,0,0
3DD.003BA5AF35_2012,0,0
3DD.003BA5AF5A_2011,0,0
3DD.003BA5AF5A_2012,0,0
3DD.003BA5AF5E_2011,0,0
3DD.003BA5AF5E_2012,0,0
3DD.003BA5AF73_2011,0,0
3DD.003BA5AF7A_2011,0,0
3DD.003BA5AF7B_2011,0,0
3DD.003BA5AF7B_2012,0,0
3DD.003BA5AF89_2011,0,0
3DD.003BA5AF89_2012,0,0
3DD.003BA5AF8C_2011,0,0
3DD.003BA5AF8E_2011,0,0
3DD.003BA5AF8E_2012,0,0
3DD.003BA5AF94_2011,0,0
3DD.003BA5AF94_2012,0,0
3DD.003BA5AF96_2011,0,0
3DD.003BA5AF96_2012,0,0
3DD.003BA5AF9C_2012,0,0
3DD.003BA5AFB1_2011,0,0
3DD.003BA5AFB1_2012,0,0
3DD.003BA5AFB4_2011,0,0
3DD.003BA5AFB4_2012,0,0
3DD.003BA5AFB6_2011,0,0
3DD.003BA5AFB6_2012,0,0
3DD.003BA5AFB9_2011,0,0
3DD.003BA5AFB9_2012,0,0
3DD.003BA5AFBE_2011,0,0
3DD.003BA5AFBE_2012,0,0
3DD.003BA5AFC9_2011,0,0
3DD.003BA5AFC9_2012,0,0
3DD.003BA5AFD0_2011,0,0
3DD.003BA5AFD0_2012,0,0
3DD.003BA5AFDA_2011,0,0
3DD.003BA5AFDA_2012,0,0
3DD.003BA5AFE0_2011,0,0
3DD.003BA5AFE0_2012,0,0
3DD.003BA5AFE3_2011,0,0
3DD.003BA5AFE3_2012,0,0
3DD.003BA5AFF5_2011,0,0
3DD.003BA5AFF5_2012,0,0
3DD.003BA5B001_2011,0,0
3DD.003BA5B001_2012,0,0
3DD.003BA5B00F_2011,0,0
3DD.003BA5B028_2011,0,0
3DD.003BA5B028_2012,0,0
3DD.003BA5B031_2011,0,0
3DD.003BA5B031_2012,0,0
3DD.003BA5B033_2011,0,0
3DD.003BA5B033_2012,0,0
3DD.003BA5B038_2011,0,0
3DD.003BA5B038_2012,0,0
