id	dam	sire
3DD.003E090FE9_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FEA_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E090FEB_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E090FEC_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FED_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FEE_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E090FEF_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E090FF0_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E090FF1_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E090FF2_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FF4_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E090FF5_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E090FF6_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E090FF7_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E090FF8_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E090FF9_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E090FFA_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FFB_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E090FFC_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FFD_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E090FFE_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E090FFF_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091001_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091002_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091003_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091004_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091005_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091006_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091007_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091008_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091009_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E09100A_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09100C_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09100D_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09100E_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09100F_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091010_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091011_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091012_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091013_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091014_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091015_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091017_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091018_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091019_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09101A_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E09101B_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E09101D_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09101E_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09101F_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091021_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091022_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091023_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091024_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091025_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091026_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091027_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091028_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091029_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09102A_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09102B_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E09102C_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09102D_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09102E_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E091030_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091031_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091032_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091033_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091034_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091035_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091036_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091037_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091038_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091039_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E09103A_CX-9_2022	3DD.003D58606D_CX-106_2020	3DD.003D5866EE_CX-84_2020
3DD.003E09103B_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E09103C_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09103D_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E09103E_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E09103F_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091040_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091041_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091042_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E091043_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E091044_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091045_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091046_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091047_CX-13_2022	3DD.003D586691_CX-20_2020	3DD.003D586683_CX-31_2020
3DD.003E091048_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E091049_CX-12_2022	3DD.003D585F85_CX-18_2020	3DD.003D5866B4_CX-20_2020
3DD.003E09104A_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09104B_CX-1_2022	3DD.003D585F75_CX-4_2020	3DD.003D585F23_CX-46_2020
3DD.003E09104C_CX-7_2022	3DD.003D585F32_CX-57_2020	3DD.003D58621F_CX-85_2020
3DD.003E09117C_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E09117E_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E091181_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E091183_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E091188_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E09118A_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E09118B_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E09118D_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E091190_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E091191_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E091193_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E091194_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E091197_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E09119A_CX-23_2022	3DD.003D5866B0_CX-26_2020	3DD.003D5866AB_CX-31_2020
3DD.003E09119C_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
3DD.003E0911A9_CX-30_2022	3DD.003D585F2C_CX-56_2020	3DD.003D585FA2_CX-18_2020
