ID EBV
3DD.003E2A2D87_CX-39_2022 1.03933033
3DD.003E2A321E_CX-152_2022 -2.96878595
3DD.003E2A3223_CX-152_2022 -2.66268159
3DD.003D58669B_CX-26_2020 -1.33174112
3DD.003D586227_CX-84_2020 -5.01207875
3DD.003E2A32D4_CX-68_2022 -0.22896379
3DD.003D5866DA_CX-81_2020 -2.30645343
3DD.003E091181_CX-23_2022 1.31802697
3DD.003D58621F_CX-85_2020 2.90923723
3DD.003E2A2B51_CX-97_2022 -1.73465753
3DD.003E2A2D7B_CX-35_2022 -0.84342932
3DD.003E09117C_CX-23_2022 1.5093422
3DD.003E2A3259_CX-151_2022 -3.64461247
3DD.003E2A32C5_CX-61_2022 1.34418642
3DD.003D585F6F_CX-4_2020 0.82284987
3DD.003E090FF7_CX-12_2022 0.59090988
3DD.003E2A31B4_CX-125_2022 -3.25930078
3DD.003D58604F_CX-124_2020 3.05579616
3DD.003E091046_CX-13_2022 2.86705905
3DD.003D585F74_CX-4_2020 0.63153465
3DD.003D58678F_CX-133_2020 0.69388429
3DD.003E2A2BE9_CX-77_2022 -2.6725664
3DD.003D585F18_cx-48_2020 0.15387197
3DD.003D312B32_CX-140_2017 0.68039656
3DD.003E2A2C0E_CX-72_2022 2.66801646
3DD.003E090FFE_CX-7_2022 1.83318935
3DD.003D585F17_CX-52_2020 -1.59046808
3DD.003E2A326B_CX-151_2022 -3.87419074
3DD.003D58670E_CX-57_2020 0.89530363
3DD.003D586677_CX-20_2020 1.59524089
3DD.003D585FD0_CX-102_2020 0.41078043
3DD.003E2A3294_CX-50_2022 0.26595321
3DD.003D585F77_CX-6_2020 1.38509566
3DD.003D586670_CX-26_2020 -0.77692697
3DD.003E09101F_CX-7_2022 1.7949263
3DD.003E2A31FA_CX-134_2022 1.69185023
3DD.003D58666B_CX-26_2020 -1.0638998
3DD.003D585F25_cx-46_2020 -0.07139659
3DD.003D5866E8_CX-74_2020 -0.11784811
3DD.003E2A2D02_CX-115_2022 -1.64649805
3DD.003D586686_CX-31_2020 2.89957677
3DD.003D585F9F_CX-4_2020 0.61240312
3DD.003E2A2BF1_CX-70_2022 -1.48116369
3DD.003E2A2D1A_CX-114_2022 -3.00071493
3DD.003D5866C2_CX-62_2020 1.90552134
3DD.003E2A2D4C_CX-104_2022 2.01476066
3DD.003D586019_CX-88_2020 -1.88111314
3DD.003D58602E_CX-121_2020 -0.90960054
3DD.003E091048_CX-12_2022 0.34220009
3DD.003D586050_CX-120_2020 -1.71493498
3DD.003E2A2D08_CX-114_2022 -2.94332036
3DD.003D5866E0_CX-81_2020 -2.15340125
3DD.003E2A2DBD_CX-38_2022 2.07832028
3DD.003E2A31D3_CX-141_2022 -3.42431604
3DD.003E0911CF_CX-23_2022 1.45194763
3DD.003E2A2DC2_CX-38_2022 2.19310941
3DD.003E2A2D33_CX-115_2022 -1.53170891
3DD.003E2A2DB9_CX-36_2022 -0.11099482
3DD.003D5866A3_CX-33_2020 -1.86063666
3DD.003E2A3258_CX-151_2022 -3.77853313
3DD.003D5866D5_CX-82_2020 -0.31425749
3DD.003E2A32C4_CX-61_2022 1.19113424
