id sire dam
2000003 0 0
2000004 0 0
2000009 0 0
2000020 0 0
2000030 0 0
2000037 0 0
2000046 0 0
2000057 0 0
2000060 0 0
2000062 0 0
2000089 0 0
2000096 0 0
2000150 0 0
2001002 0 0
2001005 0 0
2001009 0 0
2001014 0 0
2001016 0 0
2001033 0 0
2001038 0 0
2001039 0 0
2001045 0 0
2001046 0 0
2001056 0 0
2001063 0 0
2001089 0 0
2001094 0 0
2001099 0 0
2001108 0 0
2001112 0 0
2001115 0 0
2001119 0 0
2001128 0 0
2001150 0 0
2001155 0 0
2001156 0 0
2001166 0 0
2001176 0 0
2001206 0 0
2001210 0 0
2001216 0 0
2001221 0 0
2001229 0 0
2001235 0 0
2001239 0 0
2001243 0 0
2001246 0 0
2001249 0 0
2001258 0 0
2001262 0 0
2001268 0 0
2001273 0 0
2001281 0 0
2001287 0 0
2001291 0 0
2001295 0 0
2001298 0 0
2001301 0 0
2001306 0 0
2001307 0 0
2001310 0 0
2001311 0 0
20000001  0 0
20000021  0 0
20000057  0 0
20000066  0 0
20000080  0 0
20000085  0 0
20000103  0 0
20000157  0 0
20010009  0 0
20010089  0 0
20010108  0 0
20010115  0 0
20010150  0 0
20010155  0 0
20010156  0 0
20010166  0 0
20010287  0 0
20010291  0 0
20010295  0 0
20010298  0 0
20010304  0 0
20010305  0 0
20010308  0 0
20010309  0 0
20050395  2000096 2000150
20050949  20000103  20000157
20051942  2000004 2000030
20052435  2000009 2000037
20053413  2000004 2000046
20054608  2000004 2000057
20054831  2000003 2000060
20055056  2000020 2000062
20055401  20000021  20000066
20056720  20000001  20000080
20057542  2000009 2000089
20063456  20010009  20010108
20063515  2001038 2001099
20063525  2001056 2001166
20063812  2001014 2001089
20063976  2001045 2001155
20064015  2001033 2001119
20064097  2001016 2001112
20064313  2001039 2001150
20064346  2001014 2001128
20064388  2001005 2001115
20064530  2001005 2001115
20064549  2001056 2001166
20064637  2001009 2001108
20064774  2001005 2001115
20064878  2001063 2001176
20065174  2001005 2001115
20065372  2001046 2001156
20065417  2001005 2001115
20065427  2001045 2001155
20065488  2001005 2001115
20065533  2001009 2001108
20065696  2001002 2001094
20065751  2001045 2001155
20066000  20010305  20010309
20066001  20010304  20010308
20066002  2001307 2001311
20066003  2001306 2001310
20066616  2001206 2001258
20066734  2001210 2001262
20066827  2001216 2001268
20066985  2001221 2001273
20067251  2001229 2001281
20067820  2001235 2001287
20067826  2001239 2001291
20067834  2001243 2001295
20067844  2001246 2001298
20067858  2001249 2001301
20081111  0 0
20090680  0 0
20091161  20050949  20056720
20100006  0 0
20100009  0 0
20100010  0 0
20100012  0 0
20100013  20067834  20066616
20100107  20067858  20066827
20100174  20010298  20067251
20100175  0 0
20100176  20010298  20067251
20100179  0 0
20100182  0 0
20100183  20067844  20067251
20100184  0 0
20100191  0 0
20100194  0 0
20100238  0 0
20100296  0 0
20100308  0 0
20100309  0 0
20100314  0 0
20100317  0 0
20100320  0 0
20100321  0 0
20100322  0 0
20100324  0 0
20100336  20063456  20064774
20100337  0 0
20100340  0 0
20100345  0 0
20100347  0 0
20100349  0 0
20100350  20063456  20055401
20100351  0 0
20100353  0 0
20100355  0 0
20100356  0 0
20100357  20010089  20064878
20100358  0 0
20100359  0 0
20100360  0 0
20100371  20053413  20057542
20100373  0 0
20100391  0 0
20100392  20010155  20064388
20100393  20010155  20064388
20100414  0 0
20100429  0 0
20100433  20064313  20052435
20100440  0 0
20100444  0 0
20100446  20064313  20064530
20100447  20064313  20064530
20100449  0 0
20100450  0 0
20100451  20010150  20050395
20100455  0 0
20100457  0 0
20100470  0 0
20100507  20010156  20065174
20100518  20010115  20065533
20100521  0 0
20100523  0 0
20100524  20065417  20065533
20100532  0 0
20100539  0 0
20100541  0 0
20100543  0 0
20100574  0 0
20100575  0 0
20100576  0 0
20100578  0 0
20100579  0 0
20100580  0 0
20100582  0 0
20100584  0 0
20100616  0 0
20100620  0 0
20100622  0 0
20100642  0 0
20100643  0 0
20100646  0 0
20100647  0 0
20100648  0 0
20100649  0 0
20100660  20055056  20065427
20100681  0 0
20100684  0 0
20100688  0 0
20100692  20010155  20065696
20100693  0 0
20100717  0 0
